"fips","pop","state","mpg","cyl","disp","hp","drat","qsec","vs","am","gear","carb","wt_lbs","id","mod_flag","speed_lim","ticket_amount"
"15",141,"Hawaii",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,55,0
"15",141,"Hawaii",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,55,0
"15",141,"Hawaii",21.5,4,120.1,97,3.7,20.01,1,0,3,1,2465,"car_type_21",FALSE,55,0
"15",141,"Hawaii",17.3,8,275.8,180,3.07,17.6,0,0,3,3,3730,"car_type_13",FALSE,55,0
"15",141,"Hawaii",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,55,0
"15",141,"Hawaii",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,55,0
"15",141,"Hawaii",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,55,0
"15",141,"Hawaii",21,6,160,123,3.9,16.46,0,1,4,4,2269,"car_type_1",TRUE,55,0
"15",141,"Hawaii",15,8,301,335,3.54,14.6,0,1,5,8,3570,"car_type_31",FALSE,55,1039
"15",141,"Hawaii",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,55,0
"15",141,"Hawaii",30.4,4,95.1,113,3.77,16.9,1,1,5,2,1513,"car_type_28",FALSE,55,963
"15",141,"Hawaii",10.4,8,472,205,2.93,17.98,0,0,3,4,5250,"car_type_15",FALSE,55,0
"15",141,"Hawaii",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,55,0
"15",141,"Hawaii",21,6,160,110,3.9,17.02,0,1,4,4,2875,"car_type_2",FALSE,55,0
"15",141,"Hawaii",32.4,4,78.7,82,4.08,19.47,1,1,4,1,1912,"car_type_18",TRUE,55,0
"15",141,"Hawaii",13.3,8,350,245,3.73,15.41,0,0,3,4,3840,"car_type_24",FALSE,55,0
"15",141,"Hawaii",24.4,4,146.7,62,3.69,20,1,0,4,2,3190,"car_type_8",FALSE,55,0
"15",141,"Hawaii",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,55,0
"15",141,"Hawaii",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,55,0
"15",141,"Hawaii",10.4,8,460,215,3,17.82,0,0,3,4,5424,"car_type_16",FALSE,55,0
"15",141,"Hawaii",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,55,0
"15",141,"Hawaii",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,55,0
"15",141,"Hawaii",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,55,0
"15",141,"Hawaii",19.2,8,400,175,3.08,17.05,0,0,3,2,3845,"car_type_25",FALSE,55,1044
"15",141,"Hawaii",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,55,0
"15",141,"Hawaii",32.4,4,78.7,66,4.08,19.47,1,1,4,1,2200,"car_type_18",FALSE,55,0
"15",141,"Hawaii",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,55,0
"15",141,"Hawaii",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,55,1004
"15",141,"Hawaii",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,55,0
"15",141,"Hawaii",18.7,8,360,208,3.15,17.02,0,0,3,2,3111,"car_type_5",TRUE,55,974
"15",141,"Hawaii",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,55,0
"15",141,"Hawaii",18.7,8,360,175,3.15,17.02,0,0,3,2,3440,"car_type_5",FALSE,55,0
"15",141,"Hawaii",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,55,0
"15",141,"Hawaii",21.4,4,121,109,4.11,18.6,1,1,4,2,2780,"car_type_32",FALSE,55,0
"15",141,"Hawaii",19.7,6,145,213,3.62,15.5,0,1,5,6,2516,"car_type_30",TRUE,55,1039
"15",141,"Hawaii",30.4,4,75.7,52,4.93,18.52,1,1,4,2,1615,"car_type_19",FALSE,55,0
"15",141,"Hawaii",22.8,4,140.8,118,3.92,22.9,1,0,4,2,2755,"car_type_9",TRUE,55,1085
"15",141,"Hawaii",16.4,8,275.8,180,3.07,17.4,0,0,3,3,4070,"car_type_12",FALSE,55,0
"15",141,"Hawaii",14.7,8,440,230,3.23,17.42,0,0,3,4,5345,"car_type_17",FALSE,55,0
"15",141,"Hawaii",17.8,6,167.6,123,3.92,18.9,1,0,4,4,3440,"car_type_11",FALSE,55,0
"15",141,"Hawaii",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,55,0
"15",141,"Hawaii",21.4,6,258,110,3.08,19.44,1,0,3,1,3215,"car_type_4",FALSE,55,0
"15",141,"Hawaii",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,55,1100
"15",141,"Hawaii",19.7,6,145,175,3.62,15.5,0,1,5,6,2770,"car_type_30",FALSE,55,1070
"15",141,"Hawaii",27.3,4,79,66,4.08,18.9,1,1,4,1,1935,"car_type_26",FALSE,55,0
"15",141,"Hawaii",26,4,120.3,91,4.43,16.7,0,1,5,2,2140,"car_type_27",FALSE,55,0
"15",141,"Hawaii",15.5,8,318,150,2.76,16.87,0,0,3,2,3520,"car_type_22",FALSE,55,0
"15",141,"Hawaii",15.8,8,351,264,4.22,14.5,0,1,5,4,3170,"car_type_29",FALSE,55,943
"15",141,"Hawaii",21,6,160,110,3.9,16.46,0,1,4,4,2620,"car_type_1",FALSE,55,0
"15",141,"Hawaii",15.2,8,304,150,3.15,17.3,0,0,3,2,3435,"car_type_23",FALSE,55,0
